p,d,q,P,D,Q,s,aic,bic
0,1,1,0,1,1,4,25.507774753622034,34.67651216966696
1,1,1,0,1,1,4,27.47532045801721,39.70030367941044
2,1,1,0,1,1,4,27.762935013886224,43.04416404062776
0,1,1,1,1,1,4,29.526457402268893,41.75144062366212
1,1,1,1,1,1,4,31.51550989351429,46.796738920255834
2,1,1,1,1,1,4,32.66870869436502,51.00618352645486
2,1,0,1,0,1,4,49.18107079736539,64.58809262228772
2,1,0,0,0,1,4,52.273916494062746,64.62430183499228
2,1,0,1,0,0,4,53.045544850108236,65.37116231004609
2,0,2,1,1,0,4,56.278807599670756,74.65437779783255
2,1,0,0,0,0,4,57.89445960983053,67.21229603153228
2,1,0,0,1,1,4,66.78468441280833,79.03506454491621
2,0,0,1,1,0,4,67.53949429828054,79.78987443038841
0,0,0,1,1,0,4,67.9494024039056,74.09975003437324
2,1,0,1,1,1,4,69.04012858807137,84.32135761481291
2,0,1,1,1,0,4,69.52907331677545,84.84204848191028
1,0,0,1,1,0,4,69.83476435365459,79.0414769603153
1,1,2,1,1,0,4,69.8717947507537,85.18476991588852
0,0,1,1,1,0,4,69.92849072285117,79.15401216855264
1,0,1,1,1,0,4,70.22029377493051,82.49591058381144
1,1,0,1,0,1,4,71.64408699703677,83.9944723379663
0,0,2,1,1,0,4,71.81858055673098,84.11927581766628
1,1,0,1,0,0,4,73.48239173299783,82.74518073869498
1,1,0,0,0,1,4,73.48294395483968,82.74573296053683
1,0,2,1,1,0,4,73.70685031919632,89.05137133029748
0,1,1,1,1,0,4,75.6208835032973,84.827596109958
1,1,0,0,0,0,4,76.0527279091213,82.27670348583439
1,1,1,1,1,0,4,76.55625283552551,88.80663296763338
0,1,2,1,1,0,4,77.57074382974896,89.84636063862989
2,1,1,1,1,0,4,78.57998655985119,93.86121558659273
2,1,2,1,1,0,4,79.50714648696159,97.84462131905144
1,1,0,0,1,1,4,82.43925421418625,91.62703931326715
1,1,0,1,1,1,4,88.09966585954824,100.3500459916561
2,0,2,0,1,0,4,89.75394151050621,105.16096333542853
2,0,1,0,1,0,4,103.51024350527287,115.8606288462024
